Task,Area,Cutoff,Participant
wd,3.3911657541851463,0.1,p113
int,3.917148831384973,0.1,p113
wd,3.0438002690317294,0.15,p113
int,3.619330150242278,0.15,p113
wd,2.479183293772007,0.2,p113
int,3.1741258406103943,0.2,p113
wd,2.382854645004531,0.25,p113
int,2.965274371293386,0.25,p113
wd,2.2739558204674197,0.3,p113
int,2.75545013825519,0.3,p113
wd,2.9705533969001188,0.1,p115
int,3.7907550125359335,0.1,p115
wd,2.8219617234969383,0.15,p115
int,3.535892493144949,0.15,p115
wd,2.543304147242958,0.2,p115
int,3.276499251260125,0.2,p115
wd,2.3919308386317706,0.25,p115
int,3.0992885104900285,0.25,p115
wd,2.2761036211225485,0.3,p115
int,2.91663575835971,0.3,p115
wd,4.213787630779314,0.1,p120
int,4.2457180195499795,0.1,p120
wd,3.9683116728267147,0.15,p120
int,4.058396770058407,0.15,p120
wd,3.803097399277268,0.2,p120
int,3.865271710852511,0.2,p120
wd,3.494722149813321,0.25,p120
int,3.6235678350729787,0.25,p120
wd,3.1765370431829236,0.3,p120
int,3.4100252925458943,0.3,p120
wd,3.920633383489822,0.1,p124
int,3.6435814669103053,0.1,p124
wd,3.1651734933623796,0.15,p124
int,3.4657769269542626,0.15,p124
wd,2.5820301896736786,0.2,p124
int,3.0915155270784247,0.2,p124
wd,1.9500131176647173,0.25,p124
int,2.8610137391208,0.25,p124
wd,1.8075847630171658,0.3,p124
int,2.4476440651231424,0.3,p124
